比较,新增项,估计,CI下,CI上,时间比TR,联合Wald_chi2,联合Wald_df,联合Wald_p,CV_NLL_基线,CV_NLL_加入后,评价,保留
单因素：age_c,age_c,0.00435,-0.02090,0.02961,1.0044,0.11,1.0,0.7355,184.64,185.28,"CV改善=False, Wald p=0.736",False
单因素：height_c,height_c,0.00854,-0.00843,0.02550,1.0086,0.97,1.0,0.324,184.64,185.35,"CV改善=False, Wald p=0.324",False
单因素：IVF/IUI,IVF_IUI;IVF_IVF,,,,,,,,,,各仅 2 人，现有数据无法可靠估计，不进入正式比较,不适用
单因素：preg,preg_2;preg_3p,0.06901;-0.07282,-0.15604;-0.29603,0.29406;0.15038,1.0715;0.9298,1.15,2.0,0.5629,184.64,187.66,"CV改善=False, Wald p=0.563",False
单因素：birth,birth_1;birth_2p,0.02115;-2.22455,-0.18398;-95.15985,0.22627;90.71075,1.0214;0.1081,0.04,2.0,0.9787,184.64,184.35,"CV改善=True, Wald p=0.979",False
联合：BMI+年龄+身高,age_c;height_c,0.00312;0.00831,-0.02210;-0.00870,0.02835;0.02533,1.0031;1.0083,1.03,2.0,0.5961,184.64,186.0,联合模型无训练外增益,False
扩展组：孕产史（4 哑变量）,preg_2;preg_3p;birth_1;birth_2p,0.08253;0.03167;-0.02327;-2.46344,-0.19067;-0.23111;-0.28690;-272.76355,0.35574;0.29444;0.24035;267.83667,1.0860;1.0322;0.9770;0.0851,0.4,4.0,0.9826,184.64,186.83,孕产史整体无训练外增益；生产 2+ 仅 18 人，单项区间不稳定仅作参考,False
