BMI主组,子组,BMI区间,年龄区间,身高区间,人数,推荐时点t*,组内平均当次p(t*),组内平均F(t*),组内平均误判率U(t*),折中得分S(t*),当次p<0.8人数,执行建议,分层顺序
1,1-1,"[20.0, 33.5)",<30.5岁,<157.5cm,38,17.5,0.9355,0.9594,0.0255,0.4407,0,按推荐时点检测,age0→height0
1,1-2,"[20.0, 33.5)",<30.5岁,≥157.5cm,112,17.5,0.8957,0.947,0.0261,0.4442,1,按推荐时点检测；其中1人需预设复检,age0→height0
1,1-3,"[20.0, 33.5)",≥30.5岁,<165.5cm,43,17.5,0.9027,0.95,0.0252,0.4429,0,按推荐时点检测,age0→height0
1,1-4,"[20.0, 33.5)",≥30.5岁,≥165.5cm,13,17.5,0.8205,0.9243,0.0264,0.4494,5,按推荐时点检测；其中5人需预设复检,age0→height0
2,2-1,"[33.5, ∞)",<29.5岁,<162.2cm,13,18.0,0.8741,0.9215,0.0352,0.4609,1,按推荐时点检测；其中1人需预设复检,age0→height0
2,2-2,"[33.5, ∞)",<29.5岁,≥162.2cm,18,18.0,0.7857,0.8883,0.0369,0.4648,10,按推荐时点检测；其中10人需预设复检,age0→height0
2,2-3,"[33.5, ∞)",≥29.5岁,<163.5cm,18,18.0,0.8225,0.8981,0.0364,0.4655,5,按推荐时点检测；其中5人需预设复检,age0→height0
2,2-4,"[33.5, ∞)",≥29.5岁,≥163.5cm,12,18.0,0.7474,0.8824,0.0382,0.4704,10,按推荐时点检测；其中10人需预设复检,age0→height0
