模型,项,估计,标准误,CI下,CI上,z,p
M0,Intercept,0.21614194562947386,0.04851380591280889,0.12105663328740211,0.3112272579715456,4.455266734132001,8.378895487123064e-06
M0,t_c,0.0028835289777079205,0.00019003300162081767,0.002511071138657076,0.003255986816758765,15.173832719127226,5.2707062065067216e-52
M0,B0_c,-0.0021966833578516056,0.0006133085143094851,-0.0033987459573099647,-0.0009946207583932465,-3.5816938891266146,0.0003413736460558938
M0,dB,0.0005002990464542822,0.0009469279167882206,-0.0013556455664061715,0.0023562436593147357,0.5283391033091419,0.5972639957953405
M0,t_c:B0_c,8.02787227382607e-05,5.098923302103334e-05,-1.9658337582285104e-05,0.0001802157830588065,1.5744249909612344,0.11538923000741962
M0,log_reads,-0.020631648625561803,0.007409396649132604,-0.03515379920503346,-0.00610949804609014,-2.7845247869105627,0.005360622366961662
M0,sigma_b^2(随机截距方差),0.0007934737979227998,,,,,
M0,sigma^2(残差方差),0.00029413196176448906,,,,,
M0,ICC,0.7295601286176908,,,,,
M0,边际R2,0.14265081511361655,,,,,
M0,条件R2,0.7681385967095989,,,,,
M1,sp0,0.19005667040458282,0.04801893450863581,0.09594128819166907,0.28417205261749656,3.957952677404841,7.559492950031124e-05
M1,sp1,0.20353253131753735,0.04799575289814809,0.10946258422628316,0.2976024784087915,4.240636286078359,2.2288705359975568e-05
M1,sp2,0.25265020229664786,0.047845140439570104,0.15887545019982957,0.34642495439346616,5.280582311504611,1.2877395596100444e-07
M1,B0_c,-0.002199532251449236,0.0006147012268525804,-0.003404324517332879,-0.000994739985565593,-3.5782135375121595,0.00034595076121838003
M1,dB,0.00029998774327445114,0.0009368554542421714,-0.0015362152057601176,0.0021361906923090196,0.3202070734776404,0.7488113614168378
M1,t_c:B0_c,7.68653837967911e-05,5.0350804821445576e-05,-2.182038024584793e-05,0.00017555114783943012,1.526596924704019,0.12686127221917295
M1,log_reads,-0.019048764106524497,0.007324838820314821,-0.0334051843869024,-0.004692343826146592,-2.6005710943009914,0.009306873248117487
M1,sigma_b^2(随机截距方差),0.0008001062749328006,,,,,
M1,sigma^2(残差方差),0.00028646221207757064,,,,,
M1,ICC,0.7363606477620619,,,,,
M1,边际R2,0.14755710418647514,,,,,
M1,条件R2,0.7752625071278901,,,,,
LRT,"孕周非线性分量(M1 vs M0, df=1)",19.554371153190004,,,,,9.777675871163106e-06
LRT,"孕周整体效应(M1 vs 无孕周, df=3)",218.82092003197613,,,,,3.6107440780810498e-47
